Data de Referência,Empresa,Tipo de Empresa,Tipo de Site,Site
26/02/2023,3M,Indústria Química,Workday,https://3m.wd1.myworkdayjobs.com/pt-BR/Search
26/02/2023,Accenture,Consultoria,Accenture,https://www.accenture.com/pt-pt/careers/jobsearch?clp=1&jk=&sb=1&pg=1&vw=1&is_rj=0
27/03/2022,Adobe,Software,Plataforma Própria,https://careers.adobe.com/us/en/c/other-jobs
26/02/2023,Agi,Banco,Kenoby,https://jobs.kenoby.com/agi
26/02/2023,Ágora Investimentos,Casa de Investimentos,LinkedIn,https://www.linkedin.com/company/agorainvestimentos/jobs/
26/02/2023,Alelo,Benefícios,Kenoby,https://jobs.kenoby.com/alelo
26/02/2023,Alura,Educação,Gupy,https://grupoalura.gupy.io/
26/02/2023,Ambev,Bebidas,Gupy,https://ambev.gupy.io/
26/02/2023,Ambev Tech,Tecnologia,Gupy,https://ambevtech.gupy.io/
27/03/2022,ANBIMA,Organização sem fins lucrativos,Gupy,https://anbima.gupy.io/
26/02/2023,"B2W (Americanas, Submarino e Shoptime)",Varejo,Gupy,https://b2w.gupy.io/
26/02/2023,Banco ABC,Banco,Gupy,https://abcbrasil.gupy.io/
26/02/2023,Banco Bari,Banco,Gupy,https://bancobari.gupy.io/
26/02/2023,Banco BV,Banco,Lever,https://jobs.lever.co/bv
26/02/2023,Banco Daycoval,Banco,Gupy,https://bancodaycoval.gupy.io/
26/02/2023,Banco Fibra,Banco,Gupy,https://bancofibra.gupy.io/
26/02/2023,Banco Master,Banco,Gupy,https://bancomaster.gupy.io/
22/07/2023,Banco Mercantil,Banco,Gupy,https://mercantil.gupy.io/
04/05/2023,Banco Ourinvest,Banco,Gupy,https://bancoourinvest.gupy.io
26/02/2023,Banco Pan,Banco,Greenhouse,https://boards.greenhouse.io/bancopan
26/02/2023,Banco Rodobens,Banco,Kenoby,https://jobs.kenoby.com/rodobens
26/02/2023,Banco Sofisa,Banco,Kenoby,https://jobs.kenoby.com/bancosofisa
26/02/2023,banQi,Soluções de Pagamento,Gupy,https://banqi.gupy.io/
26/02/2023,BMG,Banco,Gupy,https://bmg.gupy.io/
26/02/2023,BMW Group Brasil,Automóvel,Gupy,https://bmw.gupy.io/
26/02/2023,Brasilprev,Seguradora,Gupy,https://brasilprev.gupy.io/
26/02/2023,C&A,Varejo,Gupy,https://cea.gupy.io/
26/02/2023,C6 Bank,Banco,Greenhouse,https://boards.greenhouse.io/c6bank
26/02/2023,Cacau Show,Varejo,Kenoby,https://jobs.kenoby.com/cacaushow
26/02/2023,Centauro,Varejo,Kenoby,https://jobs.kenoby.com/centauro
26/02/2023,Centauro,Varejo,Kenoby,https://jobs.kenoby.com/centauro
26/02/2023,Cielo,Soluções de Pagamento,Gupy,https://cielo.gupy.io/
26/02/2023,ClearSale,Consultoria,Kenoby,https://jobs.kenoby.com/clearsale
27/03/2022,Coca-Cola Company,Bebidas,Workday,https://coke.wd1.myworkdayjobs.com/coca-cola-careers/
27/03/2022,Coca-Cola FEMSA Brasil,Bebidas,Vagas.com.br,https://trabalheconosco.vagas.com.br/femsa/oportunidades
27/03/2022,Colgate-Palmolive,Produtos de Consumo,Plataforma Própria,https://jobs.colgate.com/go/View-All-Jobs/8506400/
26/02/2023,Creditas (Internacional),Financeira,Greenhouse,https://boards.greenhouse.io/creditasen
26/02/2023,Creditas (Nacional),Financeira,Greenhouse,https://boards.greenhouse.io/creditas
26/02/2023,Crefisa,Banco,Gupy,https://crefisaesuasempresasparceiras.gupy.io/
26/02/2023,CVC Corp,Viagens,Gupy,https://cvccorp.gupy.io/
26/02/2023,CVP (Caixa Vida e Previdência),Seguradora,Gupy,https://caixavidaeprevidencia.gupy.io/
26/02/2023,Dasa Tecnologia,Saúde,Gupy,https://dasatecnologia.gupy.io/
26/02/2023,DATAB,Educação,Gupy,https://datab.gupy.io/
26/02/2023,DiDi (99),Tecnologia,iCIMS,https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479
26/02/2023,Digio,Banco,Gupy,https://digio.gupy.io/
26/02/2023,Dotz,Benefícios,Kenoby,https://jobs.kenoby.com/dotz
26/02/2023,Ebanx,Soluções de Pagamento,Greenhouse,https://boards.greenhouse.io/ebanx
26/02/2023,Elo,Soluções de Pagamento,Gupy,https://vempraelo.gupy.io/
26/02/2023,Embraer,Viagens,Gupy,https://embraer.gupy.io/
26/02/2023,EMS,Farmácia,Gupy,https://ems.gupy.io/
26/02/2023,Energisa (Corp),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisa
26/02/2023,Energisa (Tecnologia),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisatecnologia
27/03/2022,FGV - Fundação Getulio Vargas,Ensino,Plataforma Própria,https://trabalheconosco.fgv.br/vagas
26/02/2023,Genial Investimentos,Corretora,Gupy,https://genial.gupy.io/
26/02/2023,Getnet,Soluções de Pagamento,Gupy,https://getnet.gupy.io/
26/02/2023,Globo,Televisão,Gupy,https://globo.gupy.io/
26/02/2023,GOL Linhas Aéreas,Viagens,Gupy,https://golcarreiras.gupy.io/
26/02/2023,GPA,Varejo,Gupy,https://digitalgpa.gupy.io/
26/02/2023,Grupo Boticário,Cosméticos,Gupy,https://grupoboticario.gupy.io/
26/02/2023,Grupo Carrefour,Varejo,InfoJobs,https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br/
26/02/2023,Grupo L'Occitane,Cosméticos,Gupy,https://sejaloccitane.gupy.io/
26/02/2023,Gupy,Recrutamento,Gupy,https://vempra.gupy.io/
26/02/2023,Habib's,Restaurante,Gupy,https://habibs.gupy.io/
26/02/2023,Hering,Varejo,Kenoby,https://jobs.kenoby.com/ciahering
26/02/2023,Hotmart,Tecnologia,Kenoby,https://jobs.kenoby.com/hotmart
27/03/2022,Intel,Tecnologia,Plataforma Própria,https://jobs.intel.com/en/search-jobs?k=&l=&orgIds=599
26/02/2023,Itaú,Banco,Gupy,https://vemproitau.gupy.io/
26/02/2023,KPMG,Consultoria,Kenoby,https://jobs.kenoby.com/Kpmg
26/02/2023,Livelo,Recompensas,Gupy,https://livelo.gupy.io/
26/02/2023,Localiza,Locação,Kenoby,https://jobs.kenoby.com/localiza/
26/02/2023,Localiza,Locação,Gupy,https://localizavagas.gupy.io/
26/02/2023,Loggi,Logística,Workable,https://apply.workable.com/loggi
26/02/2023,MadeiraMadeira,Varejo,Gupy,https://madeiracarreira.gupy.io/
26/02/2023,McDonalds,Restaurante,Kenoby,https://jobs.kenoby.com/mcdonalds
26/02/2023,Meliuz,Recompensas,Gupy,https://meliuz.gupy.io/
27/03/2022,Microsoft,Tecnologia,Plataforma Própria,https://careers.microsoft.com/us/en/search-results
26/02/2023,MJV,Consultoria,Kenoby,https://jobs.kenoby.com/mjv/
26/02/2023,Natura&CO (Avon + The Body Shop),Cosméticos,Workday,https://avon.wd5.myworkdayjobs.com/NaturaAndCoCareers
26/02/2023,Neon,Banco,Lever,https://jobs.lever.co/neon
11/07/2023,Nestle,Alimentos,Gupy,https://nestle.gupy.io/
26/02/2023,Notion,Tecnologia,Greenhouse,https://boards.greenhouse.io/notion
26/02/2023,Nubank,Banco,Greenhouse,https://boards.greenhouse.io/nubank
26/02/2023,Original,Banco,Gupy,https://somosoriginal.gupy.io/
26/02/2023,PagSeguro,Banco,Gupy,https://pagseguro.gupy.io/
26/02/2023,Paschoalotto,Gestão de Relacionamentos,Gupy,https://paschoalotto.gupy.io/
26/02/2023,Porto Seguro,Seguradora,Kenoby,https://jobs.kenoby.com/porto-seguro/
26/02/2023,Positivo Tecnologia,Tecnologia,Gupy,https://positivotecnologia.gupy.io/
26/02/2023,Quinto Andar,Imoveis,Workable,https://apply.workable.com/quintoandar/
26/02/2023,QUOD,Birô de Crédito,Gupy,https://vempraquod.gupy.io/
26/02/2023,Raizen,Energia,Gupy,https://genteraizen.gupy.io/
26/02/2023,RecargaPay,Tecnologia,Workable,https://apply.workable.com/recargapay/
26/02/2023,Record,Televisão,Gupy,https://recordtv.gupy.io/
26/02/2023,Rede,Soluções de Pagamento,Gupy,https://vemprarede.gupy.io/
05/07/2023,Safra,Banco,Kenoby,https://venhasersafra.gupy.io/
26/02/2023,Santander,Banco,Gupy,https://santanderbrasil.gupy.io/
26/02/2023,Sicredi,Cooperativa,Gupy,https://sicredi.gupy.io/
26/02/2023,Sinch,Tecnologia,Workable,https://apply.workable.com/sinch/
26/02/2023,TakeBlip,Tecnologia,Gupy,https://takeblip.gupy.io/
26/02/2023,TIVIT,Tecnologia,Kenoby,https://jobs.kenoby.com/tivit
26/02/2023,Toyota Brasil,Automóvel,Kenoby,https://jobs.kenoby.com/toyota
26/02/2023,Unimed Brasil,Saúde,Kenoby,https://jobs.kenoby.com/unimeddobrasil
26/02/2023,Via,Varejo,Gupy,https://viavarejo.gupy.io/
26/02/2023,Via (Corporativo),Varejo,Gupy,https://corporativovia.gupy.io/
26/02/2023,Via (HUB),Varejo,Gupy,https://viahub.gupy.io/
26/02/2023,Vivo,Telefonia,Gupy,https://vivo.gupy.io/
26/02/2023,Vivo Digital,Telefonia,Gupy,https://vivodigital.gupy.io/
26/02/2023,VR,Benefícios,Gupy,https://vr.gupy.io/
26/02/2023,will bank,Banco,Gupy,https://vemserwill.gupy.io/
26/02/2023,XP Inc,Banco,Greenhouse,https://boards.greenhouse.io/xpinc
26/02/2023,Zé Delivery,Entregas,Kenoby,https://jobs.kenoby.com/zedelivery
